,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
26,RU000A0P1LK5,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-247,Бездокументарная,С централизованным учетом,6-247-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
27,RU000A0P1LJ7,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-246,Бездокументарная,С централизованным учетом,6-246-01326-B-001P,19 октября 2023 г.,1 000.00,Юань,,,,,,,,,
28,RU000A107530,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Феррум""",9703089496,Облигации структурные процентные бездокументарные с централизованным учетом прав серии MNR-1 неконвертируемые с залоговым обеспечением денежными требованиями,Бездокументарная,С централизованным учетом,6-01-00712-R,2 мая 2023 г.,,Доллар США,,,,,,,,,
29,RU000A107514,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_MOEXFN-PRT-1Y-001Р-592R,Бездокументарная,С централизованным учетом,4B02-622-01481-B-001P,25 октября 2023 г.,,Рубли,,,,,,,,,
30,RU000A107548,26 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""КИВИ Финанс""",9724013480,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-02,Бездокументарная,С централизованным учетом,4B02-02-00011-L-001P,23 октября 2023 г.,,Рубли,,,,,,,,,
31,RU000A1074Z2,25 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Кама""",9702054300,Облигации структурные неконвертируемые процентные бездокументарные с залоговым обеспечением с централизованный учетом прав серии 01,Бездокументарная,С централизованным учетом,6-01-00741-R,12 октября 2023 г.,1 000.00,Рубли,30 июня 2026 г.,,,,,,,,
32,RU000A1074Y5,25 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Канопус""",9714013107,Облигации структурные неконвертируемые процентные бездокументарные с залоговым обеспечением с централизованным учетом прав серии 07,Бездокументарная,С централизованным учетом,6-07-00740-R,9 октября 2023 г.,,Юань,,,,,,,,,
33,RU000A1074X7,25 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Канопус""",9714013107,Облигации структурные неконвертируемые процентные бездокументарные с залоговым обеспечением с централизованным учетом прав серии 06,Бездокументарная,С централизованным учетом,6-06-00740-R,9 октября 2023 г.,,Юань,,,,,,,,,
34,RU000A1074W9,25 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество ""Канопус""",9714013107,Облигации структурные неконвертируемые процентные бездокументарные с залоговым обеспечением с централизованным учетом прав серии 05,Бездокументарная,С централизованным учетом,6-05-00740-R,9 октября 2023 г.,,Юань,,,,,,,,,
35,RU000A1074T5,25 октября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Биржевые облигации биржевые облигации процентные и дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии 001Р-09,Бездокументарная,С централизованным учетом,4B02-09-01326-B-001P,18 октября 2023 г.,,Рубли,,,,,,,,,
36,RU000A1074Q1,24 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""СОЛНЕЧНЫЙ СВЕТ""",7731316845,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001Р-01,Бездокументарная,С централизованным учетом,4B02-01-00108-L-001P,20 октября 2023 г.,1 000.00,Рубли,17 апреля 2025 г.,,,,,,,,
37,RU000A1074S7,24 октября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_PRTACm_MOEXOG-5Y-001Р-591R,Бездокументарная,С централизованным учетом,4B02-621-01481-B-001P,23 октября 2023 г.,,Рубли,,,,,,,,,
38,RU000A1074N8,24 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Практика ЛК""",6659083401,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 001P-02,Бездокументарная,С централизованным учетом,4B02-02-00089-L-001P,20 октября 2023 г.,1 000.00,Рубли,14 ноября 2026 г.,,,,,,,,
39,RU000A1074M0,24 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество БКС Структурные Ноты""",7743298037,"Облигации структурные бездокументарные с централизованным учетом прав серии 13, процентные дисконтные неконвертируемые с залоговым обеспечением",Бездокументарная,С централизованным учетом,6-13-00508-R,12 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
40,RU000A1074L2,24 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество БКС Структурные Ноты""",7743298037,"Облигации структурные бездокументарные с централизованным учетом прав серии 12, процентные дисконтные неконвертируемые с залоговым обеспечением",Бездокументарная,С централизованным учетом,6-12-00508-R,12 октября 2023 г.,,Рубли,,,,,,,,,
41,RU000A1074K4,24 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество БКС Структурные Ноты""",7743298037,"Облигации структурные бездокументарные с централизованным учетом прав серии 15, процентные дисконтные неконвертируемые с залоговым обеспечением",Бездокументарная,С централизованным учетом,6-15-00508-R,12 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
42,RU000A1074J6,24 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество БКС Структурные Ноты""",7743298037,"Облигации структурные бездокументарные с централизованным учетом прав серии 14, процентные дисконтные неконвертируемые с залоговым обеспечением",Бездокументарная,С централизованным учетом,6-14-00508-R,12 октября 2023 г.,1 000.00,Рубли,,,,,,,,,
43,RU000A1074E7,23 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""РуссОйл""",7840454034,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии БО-01,Бездокументарная,С централизованным учетом,4B02-01-00112-L,31 августа 2023 г.,1 000.00,Рубли,20 октября 2026 г.,,,,,,,,
44,RU000A1074G2,23 октября 2023 г.,Параметры ценной бумаги (выпуска),Министерство финансов Российской Федерации,7710168360,Облигации федерального займа с постоянным купонным доходом,Документарная именная,Обязательное централизованное хранение,26244RMFS,20 октября 2023 г.,1 000.00,Рубли,15 марта 2034 г.,,,,,,,,
45,RU000A1074F4,23 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество Микрофинансовая компания ""Мани Капитал""",6316103050,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-01,Бездокументарная,С централизованным учетом,4B02-01-05736-P-001P,29 августа 2023 г.,1 000.00,Рубли,8 октября 2026 г.,,,,,,,,
46,RU000A107464,20 октября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_PRTACm_MOEXFN-5Y-001Р-590R,Бездокументарная,С централизованным учетом,4B02-620-01481-B-001P,19 октября 2023 г.,,Рубли,,,,,,,,,
47,RU000A107456,20 октября 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""МТС-Банк""",7702045051,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001P-03,Бездокументарная,С централизованным учетом,4B02-03-02268-B-001P,17 октября 2023 г.,1 000.00,Рубли,21 октября 2026 г.,,,,,,,,
48,RU000A107480,20 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Лизинг-Трейд""",1655096633,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии 001P-10,Бездокументарная,С централизованным учетом,4B02-10-00506-R-001P,12 сентября 2023 г.,1 000.00,Рубли,26 сентября 2028 г.,,,,,,,,
49,RU000A1074A5,20 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""ДОМ.РФ Ипотечный агент""",7727290538,Биржевые процентные неконвертируемые бездокументарные облигации с ипотечным покрытием и с обеспечением в форме поручительства серии БО-001P-38,Бездокументарная,С централизованным учетом,4B02-37-00307-R-001P,18 октября 2023 г.,1 000.00,Рубли,28 сентября 2033 г.,,,,,,,,
50,RU000A107449,20 октября 2023 г.,Параметры ценной бумаги (выпуска),"Государственная компания ""Российские автомобильные дороги""",7717151380,Облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 002P-19,Бездокументарная,С централизованным учетом,4-19-00011-T-002P,29 декабря 2022 г.,1 000.00,Рубли,17 октября 2050 г.,,,,,,,,
51,RU000A107415,19 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Экспомобилити""",7725514969,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии КО-П01,Бездокументарная,С централизованным учетом,4CDE-01-00113-L-001P,25 сентября 2023 г.,1 000.00,Рубли,16 ноября 2027 г.,,,,,,,,
52,RU000A1073H2,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-43,Бездокументарная,С централизованным учетом,6-43-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
53,RU000A1073G4,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-42,Бездокументарная,С централизованным учетом,6-42-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
54,RU000A1073F6,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-41,Бездокументарная,С централизованным учетом,6-41-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
55,RU000A1073E9,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-40,Бездокументарная,С централизованным учетом,6-40-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
56,RU000A1073D1,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-39,Бездокументарная,С централизованным учетом,6-39-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
57,RU000A1073C3,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-38,Бездокументарная,С централизованным учетом,6-38-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
58,RU000A1073B5,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-37,Бездокументарная,С централизованным учетом,6-37-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
59,RU000A1073A7,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-36,Бездокументарная,С централизованным учетом,6-36-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
60,RU000A107399,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-35,Бездокументарная,С централизованным учетом,6-35-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
61,RU000A107381,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-34,Бездокументарная,С централизованным учетом,6-34-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
62,RU000A107373,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-33,Бездокументарная,С централизованным учетом,6-33-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
63,RU000A107365,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-32,Бездокументарная,С централизованным учетом,6-32-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
64,RU000A107357,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-31,Бездокументарная,С централизованным учетом,6-31-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
65,RU000A107340,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-30,Бездокументарная,С централизованным учетом,6-30-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
66,RU000A107332,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-29,Бездокументарная,С централизованным учетом,6-29-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
67,RU000A107324,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-28,Бездокументарная,С централизованным учетом,6-28-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
68,RU000A107316,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-27,Бездокументарная,С централизованным учетом,6-27-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
69,RU000A107308,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-26,Бездокументарная,С централизованным учетом,6-26-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
70,RU000A1072Z6,18 октября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Азбука дохода""",9729337351,Структурные процентные неконвертируемые бездокументарные облигации с залоговым обеспечением с централизованным учетом прав серии 001Р-СО-25,Бездокументарная,С централизованным учетом,6-25-00704-R-001P,25 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
