,Company Name,Registration Number,Taxpayer Number,Subtitle,CBR Decission,CBR Structural Unit,Date
8,АО «НИИК»,ОГРН 1206400009914,ИНН 6450110445,"Банк России 29.02.2024 принял решение о возобновлении эмиссии и государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «НИИК» (Саратовская область), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-00259-G-001D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,29.02.2024 16:14
9,АО «ННПО имени М.В. Фрунзе»,ОГРН 1115261005738,ИНН 5261077695,"Банк России 29.02.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска акций обыкновенных акционерного общества «Нижегородское научно-производственное объединение имени М.В. Фрунзе» (Нижегородская область), размещенных путем конвертации в акции акционерного общества, к которому осуществляется присоединение, акций присоединяемого акционерного общества, регистрационный номер дополнительного выпуска 1-01-13077-E-007D.",Решение в отношении ценных бумаг,Волго-Вятское главное управление Центрального банка Российской Федерации,29.02.2024 16:13
10,АО «Ин-Ин»,ОГРН 1097746225906,ИНН 7733697890,"Банк России 29.02.2024 принял решение об отказе в государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций Акционерного общества «Интеллект-Инвест» (г. Москва), размещавшихся путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-71697-H-001D, дата государственной регистрации дополнительного выпуска 14.02.2022, признании указанного дополнительного выпуска ценных бумаг несостоявшимся и аннулировании его государственной регистрации.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.02.2024 15:51
11,АО «НПО «КИС»,ОГРН 1227700585353,ИНН 9705178310,"Банк России 29.02.2024 принял решение о государственной регистрации отчета об итогах дополнительного выпуска обыкновенных акций акционерного общества «Научно-производственное объединение «Критические информационные системы» (г. Москва), размещенных путем закрытой подписки, регистрационный номер дополнительного выпуска 1-01-03469-G-001D.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,29.02.2024 15:18
12,АО «ГТЛК»,ОГРН 1027739407189,ИНН 7720261827,"Банк России 29.02.2024 принял решение о государственной регистрации выпуска неконвертируемых процентных бездокументарных облигаций серии 005Р-29, размещаемых в рамках программы облигаций серии 005Р, акционерного общества «Государственная транспортная лизинговая компания» (Ямало-Ненецкий автономный округ). Выпуску ценных бумаг присвоен регистрационный номер 4-29-32432-Н-003P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,29.02.2024 15:18
13,Государственная компания «Автодор»,ОГРН 1097799013652,ИНН 7717151380,"Банк России 29.02.2024 принял решение о государственной регистрации выпуска неконвертируемых процентных бездокументарных облигаций серии 004P-10, размещаемых в рамках программы облигаций серии 004Р, Государственной компании «Российские автомобильные дороги» (г. Москва). Выпуску ценных бумаг присвоен регистрационный номер 4-10-00011-Т-004P.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,29.02.2024 15:18
14,ООО «СФО УРАН КРЕДИТ»,ОГРН 1237700464320,ИНН 9701253528,"Банк России 29.02.2024 принял решение о возобновлении эмиссии и государственной регистрации выпуска структурных неконвертируемых процентных бездокументарных облигаций с залоговым обеспечением серии 01, предназначенных для квалифицированных инвесторов, общества с ограниченной ответственностью «Специализированное финансовое общество УРАН КРЕДИТ» (г. Москва), размещаемых путем закрытой подписки. Выпуску ценных бумаг присвоен регистрационный номер 6-01-00751-R.",Решение в отношении ценных бумаг,Департамент корпоративных отношений,29.02.2024 15:18
15,АО «ИНКОМА»,ОГРН 1027739352772,ИНН 7714086623,"Банк России 29.02.2024 принял решение о государственной регистрации дополнительного выпуска обыкновенных акций Акционерного общества «ИНКОМА» (г. Москва), размещаемых путем закрытой подписки. Дополнительному выпуску ценных бумаг присвоен регистрационный номер 1-05-24652-H-001D.",Решение в отношении ценных бумаг,Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва,29.02.2024 14:43
16,О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом,представленных ООО «Баланс Эссет Менеджмент»,,Банк России 29.02.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Закрытый паевой инвестиционный фонд недвижимости «Самолет. Коммерческий капитал».,Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,29.02.2024 14:21
17,О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами,представленных ООО УК «Гамма Групп»,,"Банк России 29.02.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями: Закрытый паевой инвестиционный фонд недвижимости «СТРОЙКОМ-КАПИТАЛ»;Закрытый паевой инвестиционный фонд недвижимости «РИФ Складской Федеральный 1».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений",Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,29.02.2024 14:20
18,О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами,представленных ООО УК «Система Капитал»,,"Банк России 29.02.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями: открытый паевой инвестиционный фонд рыночных финансовых инструментов «Система Капитал – Валютные накопления»;открытый паевой инвестиционный фонд рыночных финансовых инструментов «Система Капитал – Российские акции».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений",Решение в отношении иных финансовых инструментов,Департамент корпоративных отношений,29.02.2024 14:20
19,О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами,представленных АО «ААА Управление Капиталом»,,"Банк России 29.02.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями: Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Газпромбанк – Валютные облигации»;Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Газпромбанк – Новые рубежи»;Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Газпромбанк – Фонд международных дивидендов».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



2129.02.2024 14:20
Об отказе в регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами, представленных ООО УК «Гамма Групп»Об отказе в регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами, представленных ООО УК «Гамма Групп»
Банк России 29.02.2024 принял решение отказать в регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями:Закрытый паевой инвестиционный фонд недвижимости «Гарант»;Закрытый паевой инвестиционный фонд недвижимости «Гарантия».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



2229.02.2024 14:20
О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных ООО «ВЕЛЕС ТРАСТ»О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных ООО «ВЕЛЕС ТРАСТ»
Банк России 29.02.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Закрытый Паевой Инвестиционный Фонд Недвижимости «Межотраслевая недвижимость».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



2329.02.2024 14:20
О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных АО «УК МКБ Инвестиции»О регистрации изменений и дополнений в правила доверительного управления паевым инвестиционным фондом, представленных АО «УК МКБ Инвестиции»
Банк России 29.02.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевым инвестиционным фондом со следующим полным названием: Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Заблокированные активы паевого инвестиционного фонда «МКБ Мультивалютный доход».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



2429.02.2024 14:20
О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами, представленных АО УК «Ингосстрах – Инвестиции»О регистрации изменений и дополнений в правила доверительного управления паевыми инвестиционными фондами, представленных АО УК «Ингосстрах – Инвестиции»
Банк России 29.02.2024 принял решение зарегистрировать изменения и дополнения в правила доверительного управления паевыми инвестиционными фондами со следующими полными названиями: Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Ингосстрах – облигации ЕМ»;Закрытый паевой инвестиционный фонд рыночных финансовых инструментов «Ингосстрах – передовые технологии».
Решение в отношении иных финансовых инструментов
Департамент корпоративных отношений



2529.02.2024 14:17
АО «Брэйнбокс ВиСи», ОГРН 1227700790943, ИНН 9703120210АО «Брэйнбокс ВиСи», ОГРН 1227700790943, ИНН 9703120210
Банк России 29.02.2024 принял решение о государственной регистрации выпуска привилегированных акций Акционерного общества «Брэйнбокс ВиСи» (г. Москва), размещаемых путем закрытой подписки. Выпуску ценных бумаг присвоен регистрационный номер 2-01-03822-G.
Решение в отношении ценных бумаг
Департамент корпоративных отношений



2629.02.2024 13:30
АО ""УУК"" ОГРН 1076670017380, ИНН 6670175818АО ""УУК"" ОГРН 1076670017380, ИНН 6670175818
Банк России 29.02.2024 принял решение о государственной регистрации изменений в документ, содержащий условия размещения обыкновенных акций акционерного общества «Уральский университетский комплекс», (Свердловская область), регистрационный номер дополнительного выпуска 1-01-33035-D-007D.
Решение в отношении ценных бумаг
Уральское главное управление Центрального банка Российской Федерации



2729.02.2024 12:49
АО «Торговый комплекс - Центральный», ОГРН и ИНН не присвоеныАО «Торговый комплекс - Центральный», ОГРН и ИНН не присвоены
Банк России 29.02.2024 принял решение о приостановлении эмиссии акций обыкновенных Акционерного общества «Торговый комплекс - Центральный» (Орловская область), размещаемых путем приобретения акций акционерного общества, создаваемого в результате преобразования, Российской Федерацией, субъектом Российской Федерации или муниципальным образованием, являющимся собственником имущества реорганизуемого в форме преобразования Муниципального унитарного торгового предприятия «Ливенское».
Решение в отношении ценных бумаг
Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу



2829.02.2024 12:19
АО «Корпорация развития Орловской области», ОГРН 1115753001385, ИНН 5753056072АО «Корпорация развития Орловской области», ОГРН 1115753001385, ИНН 5753056072
Банк России 29.02.2024 принял решение об аннулировании индивидуального кода 004D дополнительного выпуска обыкновенных акций Акционерного общества «Корпорация развития Орловской области» (Орловская область) с регистрационным номером 1-01-43871-A-004D от 18.08.2022.
Решение в отношении ценных бумаг
Отделение по Орловской области Главного управления Центрального банка Российской Федерации по Центральному федеральному округу



2929.02.2024 12:00
АО «Краевое АТП», ОГРН 1212400015574, ИНН 2464156080АО «Краевое АТП», ОГРН 1212400015574, ИНН 2464156080
Банк России 29.02.2024 принял решение об аннулировании индивидуального кода 003D дополнительного выпуска обыкновенных акций акционерного общества «Краевое автотранспортное предприятие» (Красноярский край) с регистрационным номером 1-01-30218-N-003D от 04.09.2023.
Решение в отношении ценных бумаг
Сибирское главное управление Центрального банка Российской Федерации



3029.02.2024 11:59
АО «СКС», ОГРН 1245400002990, ИНН 5410156561АО «СКС», ОГРН 1245400002990, ИНН 5410156561
Банк России 29.02.2024 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций акционерного общества «СКС» (Новосибирская область), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования общества с ограниченной ответственностью «СКС», регистрационный номер выпуска 1-01-36277-N.
Решение в отношении ценных бумаг
Сибирское главное управление Центрального банка Российской Федерации



3129.02.2024 11:57
АО «ДОЦ «Воронеж», ОГРН 1179102024782, ИНН 9103086172АО «ДОЦ «Воронеж», ОГРН 1179102024782, ИНН 9103086172
Банк России 29.02.2024 принял решение об аннулировании индивидуального кода 004D дополнительного выпуска акций обыкновенных акционерного общества «Детский оздоровительный центр «Воронеж» (Республика Крым) с регистрационным номером 1-01-16429-А-004D от 25.07.2023.
Решение в отношении ценных бумаг
Отделение по Республике Крым Южного главного управления Центрального банка Российской Федерации



3229.02.2024 11:55
АО «АРИНЕТ СПЕЙС», ОГРН 1221600024304, ИНН 1684003376АО «АРИНЕТ СПЕЙС», ОГРН 1221600024304, ИНН 1684003376
Банк России 28.02.2024 принял решение о государственной регистрации изменений в решение о выпуске акций обыкновенных акционерного общества «АРИНЕТ СПЕЙС» (Республика Татарстан), регистрационный номер выпуска 1-01-02618-G.
Решение в отношении ценных бумаг
Волго-Вятское главное управление Центрального банка Российской Федерации



3329.02.2024 11:54
АО «ПОЛИМЕРПЛАСТ», ОГРН, ИНН не присвоеныАО «ПОЛИМЕРПЛАСТ», ОГРН, ИНН не присвоены
Банк России 28.02.2024 принял решение о государственной регистрации выпуска акций обыкновенных акционерного общества «ПОЛИМЕРПЛАСТ» (Самарская область), размещаемых путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале реорганизуемого в форме преобразования общества с ограниченной ответственностью «ПОЛИМЕРПЛАСТ». Выпуску ценных бумаг присвоен регистрационный номер 1-01-10872-P.Решение о регистрации указанного выпуска ценных бумаг, вступает в силу с даты государственной регистрации акционерного общества «ПОЛИМЕРПЛАСТ».
Решение в отношении ценных бумаг
Волго-Вятское главное управление Центрального банка Российской Федерации



3429.02.2024 11:20
АО ""Экономбанк"", ОГРН 1026400002067, ИНН 6450013459АО ""Экономбанк"", ОГРН 1026400002067, ИНН 6450013459
Банк России 29.02.2024 принял решение об аннулировании индивидуального кода 004D дополнительного выпуска обыкновенных акций Акционерного общества «Акционерно-коммерческий банк реконструкции и развития «Экономбанк» (Саратовская область) с регистрационным номером 10201319В004D от 16.10.2023.
Решение в отношении ценных бумаг
Департамент корпоративных отношений



3529.02.2024 10:52
Банк ВТБ (ПАО), ОГРН 1027739609391, ИНН 7702070139Банк ВТБ (ПАО), ОГРН 1027739609391, ИНН 7702070139
Банк России 29.02.2024 принял решение о государственной регистрации выпусков структурных процентных дисконтных неконвертируемых бездокументарных облигаций с централизованным учетом прав серий С-1-971, С-1-972, С-1-973, С-1-974, С-1-975, С-1-976, С-1-977, С-1-978, С-1-979, С-1-980, С-1-981, С-1-982, С-1-983, С-1-984, С-1-985, С-1-986, С-1-987, С-1-988, С-1-989, С-1-990, размещаемых в рамках программы облигаций Банка ВТБ (публичное акционерное общество) (г. Санкт-Петербург). Выпускам ценных бумаг присвоены регистрационные номера 6-971-01000-В-001P, 6-972-01000-В-001P, 6-973-01000-В-001P, 6-974-01000-В-001P, 6-975-01000-В-001P, 6-976-01000-В-001P, 6-977-01000-В-001P, 6-978-01000-В-001P, 6-979-01000-В-001P, 6-980-01000-В-001P, 6-981-01000-В-001P, 6-982-01000-В-001P, 6-983-01000-В-001P, 6-984-01000-В-001P, 6-985-01000-В-001P, 6-986-01000-В-001P, 6-987-01000-В-001P, 6-988-01000-В-001P, 6-989-01000-В-001P и 6-990-01000-В-001P соответственно.
Решение в отношении ценных бумаг
Департамент корпоративных отношений



3628.02.2024 18:56
АО «РСП», ОГРН 1247700080726, ИНН 9726066470АО «РСП», ОГРН 1247700080726, ИНН 9726066470
Банк России 28.02.2024 принял решение о государственной регистрации отчета об итогах выпуска привилегированных акций типа А Акционерного общества «РСП» (г. Москва), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале преобразуемого в форме преобразования Общества с ограниченной ответственностью «РСП», регистрационный номер выпуска 2-01-87597-H.
Решение в отношении ценных бумаг
Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва



3728.02.2024 18:48
АО «РСП», ОГРН 1247700080726, ИНН 9726066470АО «РСП», ОГРН 1247700080726, ИНН 9726066470
Банк России 28.02.2024 принял решение о государственной регистрации отчета об итогах выпуска обыкновенных акций Акционерного общества «РСП» (г. Москва), размещенных путем обмена на акции акционерного общества, создаваемого в результате преобразования, долей участников в уставном капитале преобразуемого в форме преобразования Общества с ограниченной ответственностью «РСП», регистрационный номер выпуска 1-01-87597-H.
Решение в отношении ценных бумаг
Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва



3828.02.2024 18:29
АО «Симпад», ОГРН 1217700485628, ИНН 7720855411АО «Симпад», ОГРН 1217700485628, ИНН 7720855411
Банк России 28.02.2024 принял решение об отказе в государственной регистрации изменений в решение о выпуске обыкновенных акций Акционерного общества «Симпад» (г. Москва), регистрационный номер выпуска 1-01-01950-G.
Решение в отношении ценных бумаг
Главное управление Центрального банка Российской Федерации по Центральному федеральному округу г. Москва



3928.02.2024 15:47
МКАО «ЯНДЕКС», ОГРН 1233900014699, ИНН 3900019850МКАО «ЯНДЕКС», ОГРН 1233900014699, ИНН 3900019850
Банк России 28.02.2024 принял решение о государственной регистрации изменений в решения о выпуске привилегированных акций типа «А» и типа «Б» международной компании акционерного общества «ЯНДЕКС» (Калининградская область), регистрационные номера выпусков 2-01-16777-A и 2-02-16777-A.
Решение в отношении ценных бумаг
Департамент корпоративных отношений



4028.02.2024 15:47
МКАО «ЯНДЕКС», ОГРН 1233900014699, ИНН 3900019850МКАО «ЯНДЕКС», ОГРН 1233900014699, ИНН 3900019850
Банк России 28.02.2024 принял решение о государственной регистрации дополнительных выпусков обыкновенных акций международной компании акционерного общества «ЯНДЕКС» (Калининградская область), размещаемых путем конвертации в них конвертируемых привилегированных акций типа «А» и типа «Б». Дополнительным выпускам ценных бумаг присвоены регистрационные номера 1-01-16777-A и 1-01-16777-A.
Решение в отношении ценных бумаг
Департамент корпоративных отношений



4128.02.2024 12:35
АО «Нижнекамское ПАТП-1», ОГРН 1021602506936, ИНН 1651000267АО «Нижнекамское ПАТП-1», ОГРН 1021602506936, ИНН 1651000267
Банк России 28.02.2024 принял решение об аннулировании индивидуального кода 001D дополнительного выпуска обыкновенных акций акционерного общества «Нижнекамское пассажирское автотранспортное предприятие № 1» (Республика Татарстан) с регистрационным номером 1-01-55456-D-001D от 17.08.2023.
Решение в отношении ценных бумаг
Волго-Вятское главное управление Центрального банка Российской Федерации



4228.02.2024 11:26
АО «РЕАЛИСТ БАНК», ОГРН 1023800000124, ИНН 3801002781АО «РЕАЛИСТ БАНК», ОГРН 1023800000124, ИНН 3801002781
Банк России 28.02.2024 принял решение о приостановлении эмиссии обыкновенных акций Акционерного общества «Реалист Банк» (г. Москва), размещаемых путем конвертации в них привилегированных акций присоединяемого акционерного общества – Джэй энд Ти Банк (акционерное общество).
